sentence_id,evidence_sentence,sources
S01,"IMU quantifies fatigue-related movement changes rather than direct muscle fatigue.","[8]; [16]; [22]"
S02,"Borg/RPE can serve as a subjective exertion label in resistance training.","[1]; [3]"
S03,"VO2/EE can serve as physiological-load ground truth or auxiliary labels, but should be handled as delayed set-level response.","[13]; [14]; [19]; [20]"
S04,"The research line should be phase-aware, exercise-aware, and set-level fatigue trend oriented.","[18]; [20]; [21]; [22]"
S05,"Existing 018 evidence provides 1677 ground-truth reps and 6 trainable folders for an RPE upper-bound check.","[18]"
S06,"Existing 019 evidence provides set-level VO2 lag windows from 0 to 60 seconds.","[19]"
S07,"Existing 022 evidence has 96 RPE+VO2 overlap sets and 572 lag rows.","[20]"
S08,"Existing 023 evidence shows TUT, phase similarity, phase range, gyro, and movement-rate features contain RPE signal.","[21]"
S09,"Existing 024 evidence summarizes the main IMU/VO2/RPE relevance components.","[22]"
S10,"H1: accumulated TUT and progress are stable RPE baseline signals.","[3]; [17]; [21]; [22]"
S11,"H2: phase-aware waveform features provide signal beyond timing.","[7]; [8]; [21]; [22]"
S12,"H3: VO2 is a delayed physiological-load covariate.","[13]; [14]; [19]; [20]"
S13,"H4: subject-wise validation and calibration are required.","[2]; [15]; [20]; [22]"
S14,"H5: exercise-aware weighting is required.","[6]; [22]"
S15,"RPE/Borg is not a direct muscle-fatigue ground truth.","[1]; [2]; [3]; [4]; [5]"
S16,"Ground-truth segmentation upper-bound analysis should precede predicted-segmentation deployment.","[18]; [21]; [22]"
S17,"VO2 is best treated as delayed physiological load in this project.","[19]; [20]"
S18,"Evaluation should include subject-wise generalization, centered relation, and calibration benefit.","[2]; [15]; [20]; [22]"
